gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary,tissue_specificity,housekeeping
GASK1B,5,C,1,,183.7,YES,0,,,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
HILPDA,5,C,1,,282.0,YES,0,,,,,0,,"Overexpressed (282 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
HIPK1,5,C,1,,228.3,YES,0,,,,,0,,"Overexpressed (228 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
IFITM5,5,C,1,,235.3,YES,0,,,,,0,,"Overexpressed (235 TPM, p99) | Surface protein (HPA)",Tissue enriched,False
IGHA1,5,C,1,,553.9,YES,0,,,,,0,,"Overexpressed (554 TPM, p100) | Surface protein (HPA)",Group enriched,False
IGHG1,5,C,1,,160.5,YES,0,,,,,0,,"Overexpressed (160 TPM, p98) | Surface protein (HPA)",Group enriched,False
ITGA10,5,C,1,,616.1,YES,0,,,,,0,,"Overexpressed (616 TPM, p100) | Surface protein (HPA)",Tissue enriched,False
ITPR2,5,C,1,,418.2,YES,0,,,,,0,,"Overexpressed (418 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
KIRREL1,5,C,1,,216.3,YES,0,,,,,0,,"Overexpressed (216 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
LRP4,5,C,1,,483.8,YES,0,,,,,0,,"Overexpressed (484 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
MAP4,5,C,1,,342.1,YES,0,,,,,0,,"Overexpressed (342 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
MCL1,5,C,1,,746.6,YES,0,,,,,0,,"Overexpressed (747 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
MPEG1,5,C,1,,218.0,YES,0,,,,,0,,"Overexpressed (218 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
MRC1,5,C,1,,499.4,YES,0,,,,,0,,"Overexpressed (499 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
MRC2,5,C,1,,995.6,YES,0,,,,,0,,"Overexpressed (996 TPM, p100) | Surface protein (HPA)",Low tissue specificity,False
MS4A7,5,C,1,,189.4,YES,0,,,,,0,,"Overexpressed (189 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
MSRB3,5,C,1,,194.5,YES,0,,,,,0,,"Overexpressed (195 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
MUC15,5,C,1,,166.9,YES,0,,,,,0,,"Overexpressed (167 TPM, p98) | Surface protein (HPA)",Tissue enriched,False
MXRA8,5,C,1,,181.7,YES,0,,,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
MYO1B,5,C,1,,279.3,YES,0,,,,,0,,"Overexpressed (279 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
NEXN,5,C,1,,209.6,YES,0,,,,,0,,"Overexpressed (210 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
NFE2L1,5,C,1,,191.1,YES,0,,,,,0,,"Overexpressed (191 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
PAM,5,C,1,,374.9,YES,0,,,,,0,,"Overexpressed (375 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
PCDH18,5,C,1,,410.2,YES,0,,,,,0,,"Overexpressed (410 TPM, p100) | Surface protein (HPA)",Low tissue specificity,False
PCDHGC3,5,C,1,,164.5,YES,0,,,,,0,,"Overexpressed (165 TPM, p98) | Surface protein (HPA)",Tissue enhanced,False
PDIA3,5,C,1,,386.1,YES,0,,,,,0,,"Overexpressed (386 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
PDLIM5,5,C,1,,326.6,YES,0,,,,,0,,"Overexpressed (327 TPM, p99) | Surface protein (HPA)",Group enriched,False
PDZD8,5,C,1,,190.1,YES,0,,,,,0,,"Overexpressed (190 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
PLOD2,5,C,1,,286.6,YES,0,,,,,0,,"Overexpressed (287 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
PLS3,5,C,1,,434.4,YES,0,,,,,0,,"Overexpressed (434 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
PLVAP,5,C,1,,411.6,YES,0,,,,,0,,"Overexpressed (412 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
PPTC7,5,C,1,,164.8,YES,0,,,,,0,,"Overexpressed (165 TPM, p98) | Surface protein (HPA)",Tissue enhanced,False
PXK,5,C,1,,158.9,YES,0,,,,,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA)",Tissue enhanced,False
RASAL2,5,C,1,,184.5,YES,0,,,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
RASSF3,5,C,1,,210.1,YES,0,,,,,0,,"Overexpressed (210 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
RDX,5,C,1,,202.0,YES,0,,,,,0,,"Overexpressed (202 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
RNF139,5,C,1,,205.8,YES,0,,,,,0,,"Overexpressed (206 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
RNF144A,5,C,1,,350.1,YES,0,,,,,0,,"Overexpressed (350 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
ROBO1,5,C,1,,475.7,YES,0,,,,,0,,"Overexpressed (476 TPM, p100) | Surface protein (HPA)",Low tissue specificity,False
RRBP1,5,C,1,,708.2,YES,0,,,,,0,,"Overexpressed (708 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
SCD5,5,C,1,,202.8,YES,0,,,,,0,,"Overexpressed (203 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
SDC3,5,C,1,,216.2,YES,0,,,,,0,,"Overexpressed (216 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
SEL1L,5,C,1,,310.9,YES,0,,,,,0,,"Overexpressed (311 TPM, p99) | Surface protein (HPA)",Tissue enriched,False
SEMA5A,5,C,1,,295.1,YES,0,,,,,0,,"Overexpressed (295 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
SGCB,5,C,1,,355.9,YES,0,,,,,0,,"Overexpressed (356 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
SGMS2,5,C,1,,730.8,YES,0,,,,,0,,"Overexpressed (731 TPM, p100) | Surface protein (HPA)",Low tissue specificity,False
SH3PXD2B,5,C,1,,297.3,YES,0,,,,,0,,"Overexpressed (297 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
SLC17A5,5,C,1,,193.9,YES,0,,,,,0,,"Overexpressed (194 TPM, p99) | Surface protein (HPA)",Tissue enriched,False
SLC44A1,5,C,1,,423.1,YES,0,,,,,0,,"Overexpressed (423 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
SLC4A7,5,C,1,,161.0,YES,0,,,,,0,,"Overexpressed (161 TPM, p98) | Surface protein (HPA)",Tissue enhanced,False
SLC5A3,5,C,1,,296.6,YES,0,,,,,0,,"Overexpressed (297 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
SPRED1,5,C,1,,230.1,YES,0,,,,,0,,"Overexpressed (230 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
STAB1,5,C,1,,158.5,YES,0,,,,,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA)",Tissue enhanced,False
STK17B,5,C,1,,232.5,YES,0,,,,,0,,"Overexpressed (232 TPM, p99) | Surface protein (HPA)",Group enriched,False
STT3A,5,C,1,,471.1,YES,0,,,,,0,,"Overexpressed (471 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
SUSD5,5,C,1,,1130.9,YES,0,,,,,0,,"Overexpressed (1131 TPM, p100) | Surface protein (HPA)",Tissue enriched,False
TENM3,5,C,1,,180.3,YES,0,,,,,0,,"Overexpressed (180 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
TLN1,5,C,1,,511.8,YES,0,,,,,0,,"Overexpressed (512 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
TMBIM6,5,C,1,,400.7,YES,0,,,,,0,,"Overexpressed (401 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
TMEM119,5,C,1,,581.8,YES,0,,,,,0,,"Overexpressed (582 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
TMEM38B,5,C,1,,185.4,YES,0,,,,,0,,"Overexpressed (185 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
TMTC2,5,C,1,,337.1,YES,0,,,,,0,,"Overexpressed (337 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
TNFRSF19,5,C,1,,290.1,YES,0,,,,,0,,"Overexpressed (290 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
TNFRSF21,5,C,1,,229.5,YES,0,,,,,0,,"Overexpressed (230 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
TPM1,5,C,1,,301.4,YES,0,,,,,0,,"Overexpressed (301 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
TRPM7,5,C,1,,259.6,YES,0,,,,,0,,"Overexpressed (260 TPM, p99) | Surface protein (HPA)",Tissue enriched,False
TYROBP,5,C,1,,392.7,YES,0,,,,,0,,"Overexpressed (393 TPM, p100) | Surface protein (HPA)",Tissue enhanced,False
UNC5B,5,C,1,,344.3,YES,0,,,,,0,,"Overexpressed (344 TPM, p100) | Surface protein (HPA)",Low tissue specificity,False
USP53,5,C,1,,330.5,YES,0,,,,,0,,"Overexpressed (330 TPM, p99) | Surface protein (HPA)",Low tissue specificity,False
VSIG4,5,C,1,,218.6,YES,0,,,,,0,,"Overexpressed (219 TPM, p99) | Surface protein (HPA)",Tissue enhanced,False
BTD,4,C,2,YES,4.3,,17,"AGMATINE, ASPIRIN, ARCAINE",,,,0,,Mutated (MODERATE) | Expressed (4 TPM) | Druggable (17 drugs),Tissue enhanced,False
C3,4,C,2,YES,19.7,,9,"CA2+, OCTANOL, AL-78898A",,,,0,,Mutated (MODERATE) | Expressed (20 TPM) | Druggable (9 drugs),Tissue enriched,False
DYNC1H1,4,C,2,YES,134.1,,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (134 TPM, p98)",Tissue enhanced,False
GDF2,4,C,2,YES,0.1,,36,"CITARINOSTAT, VALPROIC ACID, PANOBINOSTAT",,,,0,,Mutated (MODERATE) | Druggable (36 drugs),Tissue enriched,False
IVL,4,C,2,YES,2.4,,6,"RETINOIC ACID AGENT, PERILLYL ALCOHOL, INFLIXIMAB",,,,0,,Mutated (MODERATE) | Expressed (2 TPM) | Druggable (6 drugs),Group enriched,False
MYH7B,4,C,2,YES,2.2,,3,"OMECAMTIV MECARBIL, MAVACAMTEN, DANICAMTIV",,,,0,,Mutated (MODERATE) | Expressed (2 TPM) | Druggable (3 drugs),Group enriched,False
ROBO2,4,C,2,YES,51.7,YES,0,,,,TSG,0,,Mutated (MODERATE) | Expressed (52 TPM) | Surface protein (HPA) | COSMIC (TSG),Tissue enhanced,False
SRGAP3,4,C,2,YES,9.5,,0,,,,fusion,0,,Mutated (HIGH) | Expressed (10 TPM) | COSMIC (fusion),Tissue enhanced,False
CCDC15,4,C,1,YES,51.3,YES,0,,,,,0,,Mutated (HIGH) | Expressed (51 TPM) | Surface protein (HPA),Tissue enhanced,False
DLG2,4,C,1,,6.2,YES,1,ANASTROZOLE,,,,0,YES,Expressed (6 TPM) | Surface protein (HPA) | Druggable (1 drugs) | Known Osteosarcoma driver,Tissue enhanced,False
JPH4,4,C,1,YES,0.5,YES,0,,,,,0,,Mutated (HIGH) | Surface protein (HPA),Tissue enhanced,False
OR10G8,4,C,1,YES,0.1,YES,0,,,,,0,,Mutated (HIGH) | Surface protein (HPA),Not detected,False
PTEN,3,D,5,,106.6,YES,149,"BUPARLISIB, PP-242, PANITUMUMAB","B,C,D","Everolimus, Epidermal Growth Factor Receptor Tyrosine Kinase Inhibitor",TSG,1,YES,"Overexpressed (107 TPM, p97) | Surface protein (HPA) | Druggable (149 drugs) | CIViC (60 items, levels B,C,D) | COSMIC (TSG) | Known Osteosarcoma driver | 1 recruiting trial(s)",Low tissue specificity,True
CTNNB1,3,D,5,,1234.3,YES,62,"PP1, PF-670462, MPI-0479605","B,C,D","Anti-CTLA-4 Monoclonal Antibody, Anti-PD-L1 Monoclonal Antibody, Meloxicam","oncogene, fusion",2,,"Overexpressed (1234 TPM, p100) | Surface protein (HPA) | Druggable (62 drugs) | CIViC (15 items, levels B,C,D) | COSMIC (oncogene, fusion) | 2 recruiting trial(s)",Low tissue specificity,True
MDM2,3,D,5,,530.2,,25,"DIPLAMINE B, NUTLIN-3, TCDD",B,"Pemetrexed, Cisplatin",oncogene,4,YES,"Overexpressed (530 TPM, p100) | Druggable (25 drugs) | CIViC (4 items, levels B) | COSMIC (oncogene) | Known Osteosarcoma driver | 4 recruiting trial(s)",Low tissue specificity,True
RB1,3,D,5,,140.8,,36,"BAY 61-3606, PALBOCICLIB, TOPOTECAN HYDROCHLORIDE","B,D","Palbociclib, Chemotherapy",TSG,6,YES,"Overexpressed (141 TPM, p98) | Druggable (36 drugs) | CIViC (7 items, levels B,D) | COSMIC (TSG) | Known Osteosarcoma driver | 6 recruiting trial(s)",Low tissue specificity,True
CALR,3,D,4,,971.9,YES,8,"TRETINOIN, PEGINTERFERON ALFA-2A, ANGIOGENESIS INHIBITOR","A,B",Peginterferon Alfa-2a,oncogene,0,,"Overexpressed (972 TPM, p100) | Surface protein (HPA) | Druggable (8 drugs) | CIViC (4 items, levels A,B) | COSMIC (oncogene)",Low tissue specificity,True
GNAS,3,D,4,,216.6,YES,15,"AMITRIPTYLINE HYDROCHLORIDE, FLUOROURACIL, NICLOSAMIDE","B,C","Radioactive Iodine, Cisplatin, Fluorouracil",oncogene,0,,"Overexpressed (217 TPM, p99) | Surface protein (HPA) | Druggable (15 drugs) | CIViC (11 items, levels B,C) | COSMIC (oncogene)",Low tissue specificity,True
SF3B1,3,D,4,,345.4,YES,3,"H3B-8800, ETOPOSIDE, OLAPARIB","A,B,D","Spliceostatin A, Olaparib, Etoposide",oncogene,0,,"Overexpressed (345 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs) | CIViC (8 items, levels A,B,D) | COSMIC (oncogene)",Low tissue specificity,True
ATRX,3,D,4,,196.3,,12,"CISPLATIN, TEMOZOLOMIDE, FLUOROURACIL","B,D","Fluorouracil, Cisplatin, Temozolomide, PCV Regimen",TSG,0,YES,"Overexpressed (196 TPM, p99) | Druggable (12 drugs) | CIViC (5 items, levels B,D) | COSMIC (TSG) | Known Osteosarcoma driver",Low tissue specificity,True
B2M,3,D,4,,1190.8,YES,4,"THYROGLOBULIN, AMIKACIN, ANTI-PD-L1 MONOCLONAL ANTIBODY",C,Pembrolizumab,TSG,0,,"Overexpressed (1191 TPM, p100) | Surface protein (HPA) | Druggable (4 drugs) | CIViC (1 items, levels C) | COSMIC (TSG)",Low tissue specificity,True
RHOA,3,D,4,,183.5,YES,7,"QUINIDINE, PRAVASTATIN SODIUM, NS004",E,,"oncogene, TSG",0,,"Overexpressed (183 TPM, p99) | Surface protein (HPA) | Druggable (7 drugs) | CIViC (1 items, levels E) | COSMIC (oncogene, TSG)",Low tissue specificity,True
TP53,3,D,4,,40.2,,364,"VEMURAFENIB, CHK1 INHIBITOR GDC-0575, FENTICLOR","B,D,E","Carboplatin, Cisplatin, Tamoxifen","oncogene, TSG, fusion",6,YES,"Expressed (40 TPM) | Druggable (364 drugs) | CIViC (52 items, levels B,D,E) | COSMIC (oncogene, TSG, fusion) | Known Osteosarcoma driver | 6 recruiting trial(s)",Low tissue specificity,True
HSPA5,3,D,3,,1663.7,YES,13,"MIANSERIN, 4-METHYLDAPHNETIN, AG 490",B,Fluorouracil,,0,,"Overexpressed (1664 TPM, p100) | Surface protein (HPA) | Druggable (13 drugs) | CIViC (1 items, levels B)",Low tissue specificity,True
ABI1,3,D,3,,219.8,YES,4,"DASATINIB ANHYDROUS, IMATINIB, NILOTINIB",,,"TSG, fusion",0,,"Overexpressed (220 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs) | COSMIC (TSG, fusion)",Low tissue specificity,True
CTNNA1,3,D,3,,166.5,YES,13,"EDAXETERKIB, RAVOXERTINIB, SCH772984",,,"TSG, fusion",0,,"Overexpressed (167 TPM, p98) | Surface protein (HPA) | Druggable (13 drugs) | COSMIC (TSG, fusion)",Low tissue specificity,True
DDX6,3,D,3,,225.3,YES,1,INCB3619,,,"oncogene, fusion",0,,"Overexpressed (225 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (oncogene, fusion)",Low tissue specificity,True
EZR,3,D,3,,303.0,YES,2,"RO 31-8220, TNF-ALPHA",,,fusion,0,,"Overexpressed (303 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs) | COSMIC (fusion)",Low tissue specificity,True
HNRNPA2B1,3,D,3,,552.8,YES,5,"LOBELINE, STM2457, STC-15",,,"oncogene, fusion",0,,"Overexpressed (553 TPM, p100) | Surface protein (HPA) | Druggable (5 drugs) | COSMIC (oncogene, fusion)",Low tissue specificity,True
HSP90AB1,3,D,3,,1876.1,YES,43,"SILIBININ, NOVOBIOCIN, TANESPIMYCIN",,,fusion,0,,"Overexpressed (1876 TPM, p100) | Surface protein (HPA) | Druggable (43 drugs) | COSMIC (fusion)",Low tissue specificity,True
IFNGR1,3,D,3,,252.2,YES,2,"INTERFERON GAMMA-1B, INDOLE-3-CARBINOL",D,Ipilimumab,,0,,"Overexpressed (252 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs) | CIViC (1 items, levels D)",Low tissue specificity,True
IL6ST,3,D,3,,618.7,YES,3,"BAZEDOXIFENE, RALOXIFENE HYDROCHLORIDE, SATRALIZUMAB",,,oncogene,0,,"Overexpressed (619 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs) | COSMIC (oncogene)",Low tissue specificity,True
ITGB1,3,D,3,,722.0,YES,12,"VOLOCIXIMAB, NATALIZUMAB, FIRATEGRAST",,,,0,,"Overexpressed (722 TPM, p100) | Surface protein (HPA) | Druggable (12 drugs) | COSMIC (nan)",Low tissue specificity,True
NCOA1,3,D,3,,158.8,YES,3,"TAMOXIFEN, METHYLENE BLUE ANHYDROUS, ETOPOSIDE",,,fusion,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA) | Druggable (3 drugs) | COSMIC (fusion)",Low tissue specificity,True
NOTCH2,3,D,3,,289.1,YES,7,"TAREXTUMAB, NOTCH SIGNALING PATHWAY INHIBITOR MK0752, MK-0752",,,"oncogene, TSG",0,,"Overexpressed (289 TPM, p99) | Surface protein (HPA) | Druggable (7 drugs) | COSMIC (oncogene, TSG)",Low tissue specificity,True
RNF213,3,D,3,YES,98.7,YES,0,,,,fusion,0,,"Mutated (MODERATE) | Overexpressed (99 TPM, p97) | Surface protein (HPA) | COSMIC (fusion)",Low tissue specificity,True
TGFBR1,3,D,3,,534.6,YES,7,"4-(3-PYRIDIN-2-YL-1H-PYRAZOL-4-YL)QUINOLINE, VACTOSERTIB, LY-2382770",,,,0,,"Overexpressed (535 TPM, p100) | Surface protein (HPA) | Druggable (7 drugs) | COSMIC (nan)",Low tissue specificity,True
TGFBR2,3,D,3,,604.8,YES,2,"IRINOTECAN HYDROCHLORIDE, HESPERETIN",,,TSG,0,,"Overexpressed (605 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs) | COSMIC (TSG)",Low tissue specificity,True
XPC,3,D,3,,186.1,YES,1,DOXORUBICIN HYDROCHLORIDE,,,TSG,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs) | COSMIC (TSG)",Low tissue specificity,True
H1-2,3,D,3,YES,880.0,,8,"DASA-58, COMPOUND 16 [PMID: 31977207], COMPOUND 1 [PMID: 31465224]",,,,0,,"Mutated (MODERATE) | Overexpressed (880 TPM, p100) | Druggable (8 drugs)",Low tissue specificity,True
CKAP4,3,D,2,YES,304.5,YES,0,,,,,0,,"Mutated (HIGH) | Overexpressed (304 TPM, p99) | Surface protein (HPA)",Low tissue specificity,True
PIP5K1A,3,D,2,YES,106.4,YES,0,,,,,0,,"Mutated (HIGH) | Overexpressed (106 TPM, p97) | Surface protein (HPA)",Low tissue specificity,True
ABCA1,3,D,2,,355.3,YES,104,"MRS1066, PBF-509, CYCLOSPORINE",,,,0,,"Overexpressed (355 TPM, p100) | Surface protein (HPA) | Druggable (104 drugs)",Low tissue specificity,True
ADAM10,3,D,2,,267.1,YES,16,"GI254023X, MARIMASTAT, ILOMASTAT",,,,0,,"Overexpressed (267 TPM, p99) | Surface protein (HPA) | Druggable (16 drugs)",Low tissue specificity,True
ADD3,3,D,2,,204.6,YES,20,"3-HYDROXY CAPRIC ACID, 3-HYDROXYLAURIC ACID, DL-175",,,,0,,"Overexpressed (205 TPM, p99) | Surface protein (HPA) | Druggable (20 drugs)",Low tissue specificity,True
APLP2,3,D,2,,531.0,YES,20,"2-O-ETHYL-PAF C-16, SDZ 64-412, ENANTIO PAF C-16",,,,0,,"Overexpressed (531 TPM, p100) | Surface protein (HPA) | Druggable (20 drugs)",Low tissue specificity,True
APP,3,D,2,,548.2,YES,64,"VALILTRAMIPROSATE, CLIOQUINOL, PROPOFOL",,,,0,,"Overexpressed (548 TPM, p100) | Surface protein (HPA) | Druggable (64 drugs)",Low tissue specificity,True
APPL1,3,D,2,,182.7,YES,23,"EUROPIUM-LABELLED INSL3, (DES 1-8) A-CHAIN INSL3 ANALOGUE, NANOLUC-INSL3",,,,0,,"Overexpressed (183 TPM, p99) | Surface protein (HPA) | Druggable (23 drugs)",Low tissue specificity,True
ARF1,3,D,2,,213.2,YES,3,"GEFITINIB, AFATINIB, ERLOTINIB",,,,0,,"Overexpressed (213 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,True
ARHGEF11,3,D,2,YES,76.7,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (77 TPM, p96) | Surface protein (HPA)",Low tissue specificity,True
BMPR2,3,D,2,,168.2,YES,6,"L-TRP-TRP-TRP, L-PHE-PHE-PHE, EPTOTERMIN ALFA",,,,0,,"Overexpressed (168 TPM, p98) | Surface protein (HPA) | Druggable (6 drugs)",Low tissue specificity,True
BNIP3L,3,D,2,,1049.8,YES,3,"OFLOXACIN, PIRENZEPINE, PROCAINAMIDE",,,,0,,"Overexpressed (1050 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,True
CALU,3,D,2,,607.5,YES,1,ACENOCOUMAROL,,,,0,,"Overexpressed (608 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
CANX,3,D,2,,585.6,YES,1,LERIDISTIM,,,,0,,"Overexpressed (586 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
CCT3,3,D,2,,213.4,YES,2,"BEVACIZUMAB, RANIBIZUMAB",,,,0,,"Overexpressed (213 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
CD47,3,D,2,,186.5,YES,9,"MAGROLIMAB, THROMBOSPONDIN 1, ANTI-CD47 MONOCLONAL ANTIBODY CC-90002",,,,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA) | Druggable (9 drugs)",Low tissue specificity,True
CD63,3,D,2,,1251.2,YES,2,"COMPOUND 6B [PMID: 22749870], NONSTEROIDAL ANTIINFLAMMATORY DRUG",,,,0,,"Overexpressed (1251 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
CD9,3,D,2,,206.3,YES,44,"DESIPRAMINE, MILNACIPRAN, PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",,,,0,,"Overexpressed (206 TPM, p99) | Surface protein (HPA) | Druggable (44 drugs)",Low tissue specificity,True
CDC42BPA,3,D,2,,165.6,YES,11,"PF-562271, ALSTERPAULLONE, LAUROGUADINE",,,,0,,"Overexpressed (166 TPM, p98) | Surface protein (HPA) | Druggable (11 drugs)",Low tissue specificity,True
CERS6,3,D,2,,211.3,YES,4,"CERTOLIZUMAB PEGOL, INFLIXIMAB, ADALIMUMAB",,,,0,,"Overexpressed (211 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)",Low tissue specificity,True
CLK1,3,D,2,,237.2,YES,4,"HARMINE, LEUCETTAMINE B, CDC2-LIKE KINASE INHIBITOR",,,,0,,"Overexpressed (237 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)",Low tissue specificity,True
CMPK1,3,D,2,,358.0,YES,1,LAMIVUDINE,,,,0,,"Overexpressed (358 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
CPD,3,D,2,,170.0,YES,11,"ENDOXIFEN, ANASTROZOLE, EXEMESTANE",,,,0,,"Overexpressed (170 TPM, p98) | Surface protein (HPA) | Druggable (11 drugs)",Low tissue specificity,True
DIAPH1,3,D,2,YES,83.4,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (83 TPM, p96) | Surface protein (HPA)",Low tissue specificity,True
DYRK2,3,D,2,,335.2,YES,2,"HARMINE, LEUCETTAMINE B",,,,0,,"Overexpressed (335 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
EEF2,3,D,2,,3325.9,YES,18,"LMB-100, CYCLOHEXIMIDE, BI-847325",,,,0,,"Overexpressed (3326 TPM, p100) | Surface protein (HPA) | Druggable (18 drugs)",Low tissue specificity,True
EIF4B,3,D,2,,428.2,YES,2,"RGB-286638, ZOTIRACICLIB",,,,0,,"Overexpressed (428 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
EIF5,3,D,2,,252.0,YES,1,URMC-099,,,,0,,"Overexpressed (252 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
ENO1,3,D,2,,272.1,YES,3,"LORLATINIB, COMPOUND 8E [PMID: 24432909], COMPOUND 25B [PMID: 22564207]",,,,0,,"Overexpressed (272 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)",Low tissue specificity,True
ESYT2,3,D,2,,381.7,YES,1,METHYLPHENIDATE HYDROCHLORIDE,,,,0,,"Overexpressed (382 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
GANAB,3,D,2,,191.4,YES,1,MIGLUSTAT,,,,0,,"Overexpressed (191 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
GDI2,3,D,2,,564.3,YES,1,PF-9363,,,,0,,"Overexpressed (564 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)",Low tissue specificity,True
GLG1,3,D,2,,282.0,YES,9,"CBPD-409, TTK21, COMPOUND 50 [PMID: 24313754]",,,,0,,"Overexpressed (282 TPM, p99) | Surface protein (HPA) | Druggable (9 drugs)",Low tissue specificity,True
GLO1,3,D,2,,640.5,YES,6,"N-METHYLFORMAMIDE, SMD-3040, GNE-235",,,,0,,"Overexpressed (641 TPM, p100) | Surface protein (HPA) | Druggable (6 drugs)",Low tissue specificity,True
GUSB,3,D,2,,210.0,YES,2,"RITONAVIR, VESTRONIDASE ALFA",,,,0,,"Overexpressed (210 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
HEXB,3,D,2,,484.2,YES,9,"CORTISONE, GENTAMICIN, THYROXINE",,,,0,,"Overexpressed (484 TPM, p100) | Surface protein (HPA) | Druggable (9 drugs)",Low tissue specificity,True
IGF2R,3,D,2,,182.5,YES,2,"MANNOSE 6-PHOSPHATE, ALBUTEROL SULFATE",,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)",Low tissue specificity,True
